chainname,chainid
1-800-GOT-JUNK?,556a37eca7c8957d73d5444c
24 Hour Fitness,556ce426aceaff43eb04e8a0
7-Eleven,556f676fbd6a75a99038d8e9
A&P,556f45c1bd6a007c7738fa8d
A2 Global Shipping,556c9038a7c8a11a36bd1a8c
AAA,5569faf8a7c8896abe7d5327
Aamco,556e4eb6bd6a82902e27f494
Aaron Brothers,556a379ea7c8957d73d539d1
Aaron's Inc.,57c736cc498eaabd83bd3193
ABC Fine Wine and Spirits,556a3adba7c8957d73d56f26
Abercrombie & Fitch,5568f410a7c8a9cf8ec481f0
abercrombie kids,5568efbaa7c8a9cf8ec3f679
ABRA Auto Body & Glass,556a316ba7c8957d73d4750e
Academy Sports + Outdoors,556a4e08a7c8957d73d6ce62
Accelerated Rehabilitation Centers,556a437ea7c8957d73d6118d
Ace Hardware,556e2b60a7c82e6b7253b20c
ACME,556a321ca7c8957d73d49061
Acura,57c46956498e55a8ecda97ab
ADP,556a3fc8a7c8957d73d5c5f4
Advance America,556dfa53a7c82e6b724de0a6
Advance Auto Parts,556e3827bd6a82902e253a79
Advanced Dermatology,556a250ea7c8957d73d31c10
Aeropostale,556d1eaeaceaff43eb0aea68
Aerosoles,556a3291a7c8957d73d4995f
AIMCO,556a34b9a7c8957d73d4de04
Alamo Rent A Car,556cdf5baceaff43eb042dfe
Albertsons,556d009faceaff43eb073ab1
ALDI,556ce335aceaff43eb04ce6d
All Green Recycling,556a45bfa7c8957d73d617d8
All Star,556a321ca7c8957d73d49057
Allegheny County,556c98d5a7c87f63786991d9
Allegra Network,556ca0b7a7c87f63786a3543
Allegro Coffee Company,556e5f50bd6a82902e29ce52
Alon,556ca2e1a7c87f63786a775e
Alpha Tau Omega National Fraternity,556a30b6a7c8957d73d46296
AMC Theatres,556cdd65aceaff43eb03dde7
America's Best Contacts & Eyeglasses,556cec3daceaff43eb0619f2
America's Best Franchising,556c9aeba7c87f637869ce14
America's Car-Mart,556a36a5a7c8957d73d51a72
America's Tireå¨ Store,556a3076a7c8957d73d459c6
American Apparel,556c9767a7c8a11a36bdf57e
American Eagle Outfitters,556dfa53a7c82e6b724de0a0
American Express Travel Network,556c8fa2a7c8a11a36bd09a6
American Family Insurance,556e2b60a7c82e6b7253b20f
American Freight Furniture and Mattress,556a2eada7c8957d73d42639
American Laser Skincare,556a3c9ba7c8957d73d59133
Americas Best Value Inn,5734fbdc498e0e5128d35d38
Americinn,556c8cb7a7c8a11a36bcb5b1
AMF Bowling,556c8d37a7c8a11a36bcc575
ampm,556de729a7c82f0fe9875f3a
Amtrak,556a21e2a7c8957d73d2b07e
Ann Taylor,556cdebdaceaff43eb0413f8
Annex Brands,556c8ba0a7c8a11a36bc961f
Anthropologie,556a4162a7c8957d73d5e4a5
ANY LAB TEST NOW,556a42bba7c8957d73d5f80a
Anytime Fitness,556e0690a7c82e6b724e70b4
APlus at Sunoco,556cff64aceaff43eb070c58
Apple Store,556ce0d4aceaff43eb0463e7
Applebee's,556e146fa7c82e6b725097e1
AppleOne Employment Services,556a31e2a7c8957d73d4874a
Approved Cash,556a4d8aa7c8957d73d6bf73
Arby's,556e2b60a7c82e6b7253b213
Archdiocese of Chicago,556cdebdaceaff43eb041401
ARCO,556df7e1a7c82e6b724d822d
Arvest Bank,556c9767a7c8a11a36bdf576
Ashley Furniture HomeStore,556ce9b1aceaff43eb05acc1
Ashley Stewart,556a4b41a7c8957d73d67d98
Aspen Dental,556cff64aceaff43eb070c60
At Home,556f431fbd6a007c77388daa
AT&T,556e1d0ca7c82e6b7251e0a8
ATI Physical Therapy,556a2352a7c8957d73d2ddf2
ATRS RECYCLING,556cdebdaceaff43eb0413fe
Au Bon Pain,556a470ba7c8957d73d63fc0
Aubuchon Hardware,556a34ffa7c8957d73d4e7ca
Audi,556e5d5ebd6a82902e2994c2
Auntie Anne's,556d12d9aceaff43eb090cd1
austintexasgov,556a4b41a7c8957d73d67d9c
AutoNation,556ca152a7c87f63786a4a28
AutoZone,556ce4d6aceaff43eb050859
AvalonBay,556ce0d4aceaff43eb0463f5
Aveda,556a3540a7c8957d73d4f156
Avis Car Rental,556e0bfaa7c82e6b724f5531
"BabiesR""Us""",556c96cda7c8a11a36bde310
Baby Gap,563bba7f498efdd6f256343a
Back Yard Burgers,556a2d9ea7c8957d73d40532
Baja Fresh Mexican Grill,556e5379bd6a82902e2843bc
Banana Republic,556d0479aceaff43eb07b07d
Banfield Pet Hospital,556d12d9aceaff43eb090cda
Bank of America,56043ccc498ed9eb4df8d5e3
Bank of the West,556cff64aceaff43eb070c54
BankUnited,556a2fdca7c8957d73d447c9
Bar Louie,556a2d7aa7c8957d73d3fd26
Barnes & Noble,556d1612aceaff43eb0990c6
